id,college,state,district
27172,"Alankar Mahila B.Ed. College, Jaipur   ",Rajasthan,Jaipur
27173,Alankar Mahila P G Mahav ,Rajasthan,Jaipur
27174,"Alwar Management Studies, Alwar   ",Rajasthan,Alwar
27175,"Alwar T T College, Alwar   ",Rajasthan,Alwar
27176,"Ambedkar Girls College Laxmipura, Sikar   ",Rajasthan,Sikar
27177,"Ambika T T College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27178,"Amer Maharaja College, Jaipur   ",Rajasthan,Jaipur
27179,"Amman T T College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27180,Amrit Mahav ,Rajasthan,Dausa
27181,Ananad Mahav ,Rajasthan,Alwar
27182,"Anand Mahila Shikshak Prashikshan Mahavi., Bharatpur   ",Rajasthan,Bharatpur
27183,"Anand T T College, Alwar   ",Rajasthan,Alwar
27184,"A N B.Ed. College, Jaipur   ",Rajasthan,Jaipur
27185,"A.N. College, Jaipur   ",Rajasthan,Jaipur
27186,"A N College, Sikar   ",Rajasthan,Sikar
27187,"Annapurna Shikshak Prashikshan Sansthan, Sikar   ",Rajasthan,Sikar
27188,"Anniebeasent Girls College, Alwar   ",Rajasthan,Alwar
27189,Annupurna Mahav ,Rajasthan,Sikar
27190,Annu Shree PG Mahila Mahav ,Rajasthan,Dausa
27191,"A N TT College, Sikar   ",Rajasthan,Sikar
27192,"Anuradha Mahila Shikshak Prashikshan Mahavi., Jaipur   ",Rajasthan,Jaipur
27193,"Apex Inst. of Mgt. Sc., Jaipur   ",Rajasthan,Jaipur
27194,"Aravali College, Alwar   ",Rajasthan,Alwar
27195,"Aravali T T College, Sikar   ",Rajasthan,Sikar
27196,"Arawali PG College, Sikar   ",Rajasthan,Sikar
27197,"Arch Academy of Design, Jaipur   ",Rajasthan,Jaipur
27198,Aryaan Mahav ,Rajasthan,Sikar
27199,Arya Kanya Mahav ,Rajasthan,Alwar
27200,"Arya Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27201,"Arya Mahila T T College, Alwar   ",Rajasthan,Alwar
27202,"Arya Mahila T T College, Jaipur   ",Rajasthan,Jaipur
27203,Aryan Mahav ,Rajasthan,Jaipur
27204,"Arya Shikshak Prashikshan Mahavi., Sikar   ",Rajasthan,Sikar
27205,Arya V ,Rajasthan,Bharatpur
27206,Asian Mahav ,Rajasthan,Jaipur
27207,"Asia Pacific Inst. of Mgt., Jaipur   ",Rajasthan,Jaipur
27208,"Astha Colege of Edu., Jaipur   ",Rajasthan,Jaipur
27209,"A V M T T College, Bharatpur   ",Rajasthan,Bharatpur
27210,AVP Mahila Mahav ,Rajasthan,Dausa
27211,"AVP PG College, Dausa   ",Rajasthan,Dausa
27212,"Baba Bhagwan Das T T College, Alwar   ",Rajasthan,Alwar
27213,"Baba Gangadas Govt. Girls College, Jaipur   ",Rajasthan,Jaipur
27214,"Baba Ganga nath Co-ed College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27215,"Baba Ganganath T T College,Jhunjhunun   ",Rajasthan,Jhunjhunun
27216,Baba Kheenva Das PG Mahav ,Rajasthan,Sikar
27217,"Baba Khetanath Mahila Shikshak Prashikshan Mahjavi., Alwar   ",Rajasthan,Alwar
27218,"Baba Khetanath Women PG College, Alwar   ",Rajasthan,Alwar
27219,"Baba Mohanram Kissan Co.Edu. PG College, Alwar   ",Rajasthan,Alwar
27220,"Baba Narayandas Mahila Shikshak Prashikshan Sansthan, Sikar   ",Rajasthan,Sikar
27221,"Baba Narayandas T T College, Jaipur   ",Rajasthan,Jaipur
27222,"Baba Narsingh Das Mahila Shikshak Prashikshan Mahavi., Sikar   ",Rajasthan,Sikar
27223,"Baba Narsingh Das PG College, Sikar   ",Rajasthan,Sikar
27224,Baba Shayam Rishi Sanskrit Mahila Mahav ,Rajasthan,Sikar
27225,Baba Shri Baldev Das Mahav ,Rajasthan,Sikar
27226,"Baba Shri Narayandash Shikshak Prashikshan Mahila Mahavi., Alwar   ",Rajasthan,Alwar
27227,"Baba Shyam T T College, Sikar   ",Rajasthan,Sikar
27228,"Baba Umad Singh College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27229,Babu Bhagwan Das Mahila Mahav ,Rajasthan,Alwar
27230,"Babu Narayan Das P.G. College, Jaipur   ",Rajasthan,Jaipur
27231,Babu Shri Narayandas Abhinav PG Mahila Mahav ,Rajasthan,Alwar
27232,"Babu Sobharam Govt. Arts College, Alwar   ",Rajasthan,Alwar
27233,"Bagaria B.Ed. College, Sikar   ",Rajasthan,Sikar
27234,Bagru Mahila Mahav ,Rajasthan,Jaipur
27235,"Bagru Shikshak Prashikahan Mahavi., Jaipur   ",Rajasthan,Jaipur
27236,"Bajrang PG College, Bharatpur   ",Rajasthan,Bharatpur
27237,"Bajrang TT College, Bharatpur   ",Rajasthan,Bharatpur
27238,"Balaji T T College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27239,"Bal Bharti T T College, Alwar   ",Rajasthan,Alwar
27240,Balhans Mahila Mahav ,Rajasthan,Dausa
27241,"Bal Sadhana Girls College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27242,Bandhu Balika Mahav ,Rajasthan,Sikar
27243,"Banshiwala Mahila Mahavi., Sikar   ",Rajasthan,Sikar
27244,"Bansur Mahila College, Alwar   ",Rajasthan,Alwar
27245,"Bansur PG College, Alwar   ",Rajasthan,Alwar
27246,"BBD Govt PG College, Jaipur   ",Rajasthan,Jaipur
27247,"B D Memorial B.Ed. College, Jaipur   ",Rajasthan,Jaipur
27248,"B.D., M.L. College, Alwar   ",Rajasthan,Alwar
27249,"Behror College, Alwar   ",Rajasthan,Alwar
27250,"Bhagwan Mahaveer College & Research Centre, Jaipur   ",Rajasthan,Jaipur
27251,"Bhagwan Mahaveer Law College & Research Centre, Jaipur   ",Rajasthan,Jaipur
27252,"Bhaliya Devi Balika PG Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27253,"Bhanwar Kanwar Sugan Singh Shiksha Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27254,"Bharat law College, Jaipur   ",Rajasthan,Jaipur
27255,"Bharatraj Mahavi., Sikar   ",Rajasthan,Sikar
27256,Bharti Mahila Mahav ,Rajasthan,Jaipur
27257,"Bharti T T College, Bharatpur   ",Rajasthan,Bharatpur
27258,Bharti V ,Rajasthan,Jaipur
27259,Bharti V ,Rajasthan,Jaipur
27260,"Bhartiya Balika Shikshak Prashikashan Mahavi., Sikar   ",Rajasthan,Sikar
27261,"Bhartiya College, Alwar   ",Rajasthan,Alwar
27262,Bhartiya Mahav ,Rajasthan,Dausa
27263,"Bhartiya Mahavi., Sikar   ",Rajasthan,Sikar
27264,"Bhartiya Mahila PG Mahavi., Sikar   ",Rajasthan,Sikar
27265,"Bhartiya Prashikshan Sansthan, Alwar   ",Rajasthan,Alwar
27266,"Bhartiya T T College, Alwar   ",Rajasthan,Alwar
27267,"Bhartiya T T College, Sikar   ",Rajasthan,Sikar
27268,"Bhaskar Kanya PG Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27269,"Bhavan's College of Communication & Mgt., Jaipur   ",Rajasthan,Jaipur
27270,"Bhura Ram Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27271,"Biff & Bright College of Tech. Edu., Jaipur   ",Rajasthan,Jaipur
27272,"Biff & Bright T T College, Jaipur   ",Rajasthan,Jaipur
27273,"Bihari Lal Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27274,"Birbal Memoroal TT College, Alwar   ",Rajasthan,Alwar
27275,"Biyani College of Sc. & Mgt., Jaipur   ",Rajasthan,Jaipur
27276,"Biyani Girls College., B.ed. College, Jaipur   ",Rajasthan,Jaipur
27277,"Biyani Girls College, Jaipur   ",Rajasthan,Jaipur
27278,"BPS T T College, Sikar   ",Rajasthan,Sikar
27279,"Brajesh Mahila Shikshak Prashikshan Mahavi, Dhaulpur   ",Rajasthan,Dhaulpur
27280,"B R College of Edu., Dhaulpur   ",Rajasthan,Dhaulpur
27281,"Bright Future TT College, Jaipur   ",Rajasthan,Jaipur
27282,"Bright Moon B.Ed. College, Jaipur   ",Rajasthan,Jaipur
27283,"Bright Moon Girls P.G. College, Jaipur   ",Rajasthan,Jaipur
27284,"Brightways B.Ed. College, Jaipur   ",Rajasthan,Jaipur
27285,Brijdham Mahav ,Rajasthan,Bharatpur
27286,Brijesh Mahila Mahav ,Rajasthan,Dhaulpur
27287,B.R. Memorial Mahila Mahav ,Rajasthan,Jaipur
27288,"B R Memorial T T College, Jaipur   ",Rajasthan,Jaipur
27289,"B R TT College, Alwar   ",Rajasthan,Alwar
27290,"BR T T College, Alwar   ",Rajasthan,Alwar
27291,"B S Memorial B.Ed. College, Sikar   ",Rajasthan,Sikar
27292,"BS Memorial College, Sikar   ",Rajasthan,Sikar
27293,"B.S.N. College, Jaipur   ",Rajasthan,Jaipur
27294,Cambr ,Rajasthan,Jaipur
27295,Cambr ,Rajasthan,Sikar
27296,"Career T T College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27297,"Centre for Ele. Governance, Jaipur   ",Rajasthan,Jaipur
27298,"Chanchal Ahilya Umrawati Mahila PG, Jhunjhunun   ",Rajasthan,Jhunjhunun
27299,"Chandra Prabha Digamber Jain Mahila TT College, Alwar   ",Rajasthan,Alwar
27300,Chandraprabh Dig. Jain Kanya Mahav ,Rajasthan,Alwar
27301,"Chaudhary Goli Singh College, Bharatpur   ",Rajasthan,Bharatpur
27302,"Chhatrapati Shivaji B.Ed. College, Jaipur   ",Rajasthan,Jaipur
27303,CHHATRAPATI SHIVAJI MAHAV ,Rajasthan,Jaipur
27304,"Children's Academy B.Ed. College, Alwar   ",Rajasthan,Alwar
27305,"Chirawa PG College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27306,Chirawa V ,Rajasthan,Jhunjhunun
27307,"Ch. Jagan Singh Edu. Inst., Bharatpur   ",Rajasthan,Bharatpur
27308,"Choudhary Birbal Ram Mahaviyalaya, Jhunjhunun   ",Rajasthan,Jhunjhunun
27309,"Choudhary Charan SIngh PG Mahavi., Sikar   ",Rajasthan,Sikar
27310,"Choudhary Charan Singh Shikshak Sammitee, Sikar   ",Rajasthan,Sikar
27311,"Choudhary RR Memorial PG Mahavi., Sikar   ",Rajasthan,Sikar
27312,"Choudhary TT College, Jaipur   ",Rajasthan,Jaipur
27313,CL Mahav ,Rajasthan,Dhaulpur
27314,"Compucom Inst. of Infor. Tech. & Mgt., Jaipur   ",Rajasthan,Jaipur
27315,"CRC TT College, Alwar   ",Rajasthan,Alwar
27316,Dakha Devi Mahav ,Rajasthan,Dausa
27317,"Dausa College, Dausa   ",Rajasthan,Dausa
27318,"Dausa Law College, Dausa   ",Rajasthan,Dausa
27319,"Dayanand Arya Vedic College, Jaipur   ",Rajasthan,Jaipur
27320,"D.B. College, Alwar   ",Rajasthan,Alwar
27321,"D C S Girls College, Jaipur   ",Rajasthan,Jaipur
27322,"DCS Mahila T T College, Jaipur   ",Rajasthan,Jaipur
27323,"D C S P.G. College, Jaipur   ",Rajasthan,Jaipur
27324,"Deen Dayal College, Sikar   ",Rajasthan,Sikar
27325,"Deendayal Shikshak Prashikshan Mahavi., Sikar   ",Rajasthan,Sikar
27326,"Deep International College, Jaipur   ",Rajasthan,Jaipur
27327,"Deep International College of Edu., Alwar   ",Rajasthan,Alwar
27328,"Deepshikha College of Technical Education, Jaipur   ",Rajasthan,Jaipur
27329,"Deepshikha TT College, Jaipur   ",Rajasthan,Jaipur
27330,Devansh Mahav ,Rajasthan,Jaipur
27331,"Dev B.Ed. Girls College, Jaipur   ",Rajasthan,Jaipur
27332,"Dev Global Mahila Mahvi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27333,"Devi Dutt Dalmia College of Physical Education, Jaipur   ",Rajasthan,Jaipur
27334,"Dev International College for Girls, Alwar   ",Rajasthan,Alwar
27335,"Dev P G College, Jaipur   ",Rajasthan,Jaipur
27336,"Dharam Chand College, Alwar   ",Rajasthan,Alwar
27337,"Dhattarwal T T College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27338,"Dholaplash B.Ed. College, Alwar   ",Rajasthan,Alwar
27339,"Disha, Jaipur   ",Rajasthan,Jaipur
27340,"DPM College, Bharatpur   ",Rajasthan,Bharatpur
27341,"Dr. B. Lal Institute of Biotechnology, Jaipur   ",Rajasthan,Jaipur
27342,"Dr. B. R Ambedkar P G College, Jaipur   ",Rajasthan,Jaipur
27343,"DRM College, Dhaulpur   ",Rajasthan,Dhaulpur
27344,"Dr. Mohan Lal Peeramal Balika Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27345,"Dr. Radha Kishan TT College, Alwar   ",Rajasthan,Alwar
27346,"Dr. Shankar Dayal Sharma P G College, Jaipur   ",Rajasthan,Jaipur
27347,"Durga Devi T T College, Alwar   ",Rajasthan,Alwar
27348,"Eashwaramma Shikshak Prashkshan Mahavi., Jaipur   ",Rajasthan,Jaipur
27349,Ekta Mahav ,Rajasthan,Sikar
27350,"Excdellence Girls Education College, Sikar   ",Rajasthan,Sikar
27351,"Excellence Kanya Mahavi., Sikar   ",Rajasthan,Sikar
27352,"Five Years Int. Law College, Jaipur   ",Rajasthan,Jaipur
27353,Gandhi Mahila Mahav ,Rajasthan,Jaipur
27354,Gandhi V ,Rajasthan,Sikar
27355,"Gandi Devi Shikshan Sansthan, Jaipur   ",Rajasthan,Jaipur
27356,"Gangadhar T T College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27357,Ganpati Mahila Mahav ,Rajasthan,Jaipur
27358,"Ganpati T T College, Jaipur   ",Rajasthan,Jaipur
27359,"Gargi Girls College, Alwar   ",Rajasthan,Alwar
27360,"Gargi T T College, Alwar   ",Rajasthan,Alwar
27361,"Gaurav College of Edu., Jaipur   ",Rajasthan,Jaipur
27362,"G B College, Bharatpur   ",Rajasthan,Bharatpur
27363,"G D College, Jaipur   ",Rajasthan,Jaipur
27364,"G D Girls College, Alwar   ",Rajasthan,Alwar
27365,"G.D. Girls College, Alwar   ",Rajasthan,Alwar
27366,"GD ML Patwari PG Mahila Mahavi., Sikar   ",Rajasthan,Sikar
27367,"Geeta Bajaj Girls TT College, Jaipur   ",Rajasthan,Jaipur
27368,"Geeta Balika Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27369,"Geeta Devi Degree Kishan Garh Road, Alwar   ",Rajasthan,Alwar
27370,"Geeta Devi T T College, Alwar   ",Rajasthan,Alwar
27371,GHATALA MAHAV ,Rajasthan,Jaipur
27372,"GIMT College, Bharatpur   ",Rajasthan,Bharatpur
27373,"Ginni Devi Satyanarayan Shekhsari Kanya PG Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27374,"Global College, Dausa   ",Rajasthan,Dausa
27375,"Global College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27376,"Global T T College, Alwar   ",Rajasthan,Alwar
27377,"Gokulpura Shikshak Prashikahan Mahavi., Sikar   ",Rajasthan,Sikar
27378,"Golden Balika Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27379,"Gopi Krishan Piramal TT College,Jhunjhunun   ",Rajasthan,Jhunjhunun
27380,Goswami Tuls ,Rajasthan,Jhunjhunun
27381,"GOVERNMENT COLLEGE, THANAGAZI   ",Rajasthan,Alwar
27382,"Govindam T T College, Alwar   ",Rajasthan,Alwar
27383,"Govt. College, Bharatpur   ",Rajasthan,Bharatpur
27384,"Govt. College, Bibi Rani, Alwar   ",Rajasthan,Alwar
27385,"Govt. College, Govindgarh, Alwar   ",Rajasthan,Alwar
27386,"Govt. College of Physical, Jodhpur   ",Rajasthan,Jodhpur
27387,"Govt. College, Rajgarh   ",Rajasthan,Alwar
27388,"GOVT GIRLS COLLEGE, BAYANA   ",Rajasthan,Bharatpur
27389,"Govt. Girls College, Chomu   ",Rajasthan,Jaipur
27390,"Govt. Girls College, Dausa   ",Rajasthan,Dausa
27391,Govt. Kamla Modi P.G. Mahila Mahav ,Rajasthan,Sikar
27392,"Govt. Law College, Alwar   ",Rajasthan,Alwar
27393,"Govt. Law College, Bharatpur   ",Rajasthan,Bharatpur
27394,"Govt. Law College, Dhaulpur   ",Rajasthan,Dhaulpur
27395,"Govt. Law College, Sikar   ",Rajasthan,Sikar
27396,"Govt. LBS College, Jaipur   ",Rajasthan,Jaipur
27397,"Govt. P G College, Dausa   ",Rajasthan,Dausa
27398,"Govt. P.G. College, Dhaulpur   ",Rajasthan,Dhaulpur
27399,"Govt. P.G. College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27400,"Govt. R D Girls College, Bharatpur   ",Rajasthan,Bharatpur
27401,"Govt. Shakambhar PG College, Sambhar Lekh, Jaipur   ",Rajasthan,Jaipur
27402,"Gramin Balika PG Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27403,"Gramin Mahila PG Mahavi., Sikar   ",Rajasthan,Sikar
27404,"Gramotthan J P College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27405,Gramotthan V ,Rajasthan,Alwar
27406,"GR Memorial Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27407,"Guardian Inst. Of Edu. & Technology, Alwar   ",Rajasthan,Alwar
27408,"Gudha Girls College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27409,Guru Govind Singh Kanya Mahav ,Rajasthan,Alwar
27410,"Gurukul College, Jaipur   ",Rajasthan,Jaipur
27411,"Gurukul College, Sikar   ",Rajasthan,Sikar
27412,Gurukul Mahiala Mahav ,Rajasthan,Dausa
27413,Guru Madhawanand Pratibha Mahav ,Rajasthan,Bharatpur
27414,Gyandeep P G Mahav ,Rajasthan,Jaipur
27415,"Gyan Sindhu Girls College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27416,"Gyan Vihar College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27417,"Hans College, Jaipur   ",Rajasthan,Jaipur
27418,"Hans College of Edu., Jaipur   ",Rajasthan,Jaipur
27419,"Hans T T College, Jaipur   ",Rajasthan,Jaipur
27420,"Harsh TT College, Alwar   ",Rajasthan,Alwar
27421,"H D Teacher Training Inst., Bharatpur   ",Rajasthan,Bharatpur
27422,"ICG Inst. of Edu. Research & Development, Jaipur   ",Rajasthan,Jaipur
27423,"I.E.T Bio-Tech. INst., Alwar   ",Rajasthan,Alwar
27424,"IGM TT College, Jaipur   ",Rajasthan,Jaipur
27425,"Indian Angels Mahila TT College, Jaipur   ",Rajasthan,Jaipur
27426,"Indian Girls College of Edu., Jhunjhunun   ",Rajasthan,Jhunjhunun
27427,"Indian Inst. of Business & Sc., Jaipur   ",Rajasthan,Jaipur
27428,Indian Mahav ,Rajasthan,Jhunjhunun
27429,"Indian Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27430,"India Overseas College for Edu., Jaipur   ",Rajasthan,Jaipur
27431,"Indira Gandhi PG Balika Niketan, Jhunjhunun   ",Rajasthan,Jhunjhunun
27432,"Indira Gandhi PG College, Dausa   ",Rajasthan,Dausa
27433,"Indira Priyadarshini Kanaya, Sikar   ",Rajasthan,Sikar
27434,"IRIS College, Jaipur   ",Rajasthan,Jaipur
27435,"Islamia , Sikar   ",Rajasthan,Sikar
27436,"Jagan Shikshak Prashikshan Mahavi., Sikar   ",Rajasthan,Sikar
27437,Jagdamba Mahila Mahav ,Rajasthan,Alwar
27438,"JAGRAUTI WOMEN COLLEGE, KHERLA BUJURG   ",Rajasthan,Dausa
27439,"Jagriti Shikshak Prashikshan Mahavi., Jaipur   ",Rajasthan,Jaipur
27440,"JAI MEENESH COLLEGE, BISALPUR ROAD PHAGI   ",Rajasthan,Jaipur
27441,", JaipurAshutosh Mahav ",Rajasthan,Jaipur
27442,", JaipurChhatrapati Shivaji College, Jaipur   ",Rajasthan,Jaipur
27443,"Jai Shri Dayal TT Colege, Sikar   ",Rajasthan,Sikar
27444,"Jamna GIrls B.Ed. College, Sikar   ",Rajasthan,Sikar
27445,Jamna Mahav ,Rajasthan,Jaipur
27446,"Janki Devi College, Alwar   ",Rajasthan,Alwar
27447,"Jasoda Devi College, Jaipur   ",Rajasthan,Jaipur
27448,"Jasoda Devi TT College, Jaipur   ",Rajasthan,Jaipur
27449,"Jaswal College, Jaipur   ",Rajasthan,Jaipur
27450,"J B International College, Jaipur   ",Rajasthan,Jaipur
27451,"J B Shah Kanya PG Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27452,"J D P.G. College, Jaipur   ",Rajasthan,Jaipur
27453,"Jeen Institute of Law, Alwar   ",Rajasthan,Alwar
27454,"Jhunjhunun Icon College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27455,", JhunjhununSharwani Devi Mahila B.Ed. College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27456,"Jiwani B.Ed. College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27457,"J K College of SC. & Research Tech., Bharatpur   ",Rajasthan,Bharatpur
27458,"J M Kanya Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27459,Jobner P G Mahav ,Rajasthan,Jaipur
27460,"J.V.M. Girls College, Jaipur   ",Rajasthan,Jaipur
27461,"J.V.P. Girls College, Jaipur   ",Rajasthan,Jaipur
27462,"Kala Bharti Girls College, Bharatpur   ",Rajasthan,Bharatpur
27463,Kala Mandir Mahila Mahav ,Rajasthan,Bharatpur
27464,"Kalpana Chawla Girls PG College, Alwar   ",Rajasthan,Alwar
27465,Kamla PG Mahav ,Rajasthan,Dhaulpur
27466,"Kanoria B.Ed. COllege, Jhunjhunun   ",Rajasthan,Jhunjhunun
27467,"Kanoria Girls B.Ed. College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27468,"Kanoria Mahavi., Jhunjhunun   ",Rajasthan,Jhunjhunun
27469,Kanoria P G Mahila Mahav ,Rajasthan,Jaipur
27470,"Karam Bhoomi TT College, Alwar   ",Rajasthan,Alwar
27471,Karam V ,Rajasthan,Alwar
27472,Kaushalya Devi Balika Mahav ,Rajasthan,Dausa
27473,Kaushalya Devi Mahav ,Rajasthan,Dausa
27474,Kaushalya Devi Mahila mahav ,Rajasthan,Dausa
27475,"K.C.R.I. College of Sc. & Commerce, Alwar   ",Rajasthan,Alwar
27476,"Khandela Sah Shiksha Mahavi., Sikar   ",Rajasthan,Sikar
27477,"Khandelwal TT College, Bharatpur   ",Rajasthan,Bharatpur
27478,Khoj Mahav ,Rajasthan,Jaipur
27479,"Khoj TT College, Jaipur   ",Rajasthan,Jaipur
27480,Kiran Mahav ,Rajasthan,Jaipur
27481,Kishangarh Mahav ,Rajasthan,Alwar
27482,"KMD Memorial College, Jaipur   ",Rajasthan,Jaipur
27483,"KMD Memorial College of Edu., Jaipur   ",Rajasthan,Jaipur
27484,Kotputli Mahila Mahav ,Rajasthan,Jaipur
27485,"K S Bhaskar College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27486,Lal Bhadur Shastri Kanya P.G. Mahav ,Rajasthan,Jaipur
27487,"Late Ku. Laxmi Badhala Mahila College, Jaipur   ",Rajasthan,Jaipur
27488,"Late Ku. Laxmi Badhla Mahila TT College, Jaipur   ",Rajasthan,Jaipur
27489,"Late Moolchand Meena SHikshak Prashikshan Mahavi., Dausa   ",Rajasthan,Dausa
27490,"Late Pt. Suraya Narayan Raj Mishra TT College, Dausa   ",Rajasthan,Dausa
27491,"Late Rajesh Pilot Govt. College, Dausa   ",Rajasthan,Dausa
27492,"Laxmi Bai Mahila TT College, Jaipur   ",Rajasthan,Jaipur
27493,"Laxmi Mahila College, Alwar   ",Rajasthan,Alwar
27494,"Laxmi TT women College, Bharatpur   ",Rajasthan,Bharatpur
27495,"LBS P.G. College, Jaipur   ",Rajasthan,Jaipur
27496,"LBS TT College, Alwar   ",Rajasthan,Alwar
27497,"LBS TT College, Alwar   ",Rajasthan,Alwar
27498,LJN Mahav ,Rajasthan,Dhaulpur
27499,"LN Inst. Of Teacher Edu., Sikar   ",Rajasthan,Sikar
27500,"Lokesh TT College, Jaipur   ",Rajasthan,Jaipur
27501,"Lok Manya Tilak College, Alwar   ",Rajasthan,Alwar
27502,"Lokmanya Tilak Degree B.Ed. College, Jaipur   ",Rajasthan,Jaipur
27503,"Lord Krishana College of Edu., Alwar   ",Rajasthan,Alwar
27504,"Lord's International College, Alwar   ",Rajasthan,Alwar
27505,"Lord's International College for Teachers Training, Alwar   ",Rajasthan,Alwar
27506,"Maa Bharti TT College, Jhunjhunun   ",Rajasthan,Jhunjhunun
27507,"Maa Kasturba Gandhi Mahila College, Bharatpur   ",Rajasthan,Bharatpur
27508,"Maa Kesar Devi Girls College, Dausa   ",Rajasthan,Dausa
27509,"Maaster Dwarika Prasad College, Dhaulpur   ",Rajasthan,Dhaulpur
27510,Madhay Mahav ,Rajasthan,Dausa
27511,"Mahala TT Inst., Sikar   ",Rajasthan,Sikar
27512,"Maharaja Agrasen PG College, Bharatpur   ",Rajasthan,Bharatpur
27513,"Maharaja Agrasen TT College, Bharatpur   ",Rajasthan,Bharatpur
27514,"Maharaja College of Edu., Alwar   ",Rajasthan,Alwar
27515,Maharaja Mahila Mahav ,Rajasthan,Alwar
27516,Maharaja Shri Agrasen Kanya Mahav ,Rajasthan,Bharatpur
27517,Maharaja Surajmal Mahav ,Rajasthan,Bharatpur
27518,"Maharaja Surajmal TT College, Bharatpur   ",Rajasthan,Bharatpur
27519,"Maharana Pratap TT College, Dhaulpur   ",Rajasthan,Dhaulpur
27520,"MAHARANI GIRLS COLLEGE, NH-8 SURATPURA ROAD,KALWARA   ",Rajasthan,Jaipur
27521,Maharani Mahila Mahav ,Rajasthan,Dhaulpur
27522,Maharani Shri V ,Rajasthan,Bharatpur
27523,"Maharishi Arvind Inst. of Sc. & Mgt., Jaipur   ",Rajasthan,Jaipur
27524,"Maharishi Arvind School of Mgt. Studies, Jaipur   ",Rajasthan,Jaipur
27525,"Maharishi Dayanand Balika Vigyan, Jhunjhunun   ",Rajasthan,Jhunjhunun
27526,"Maharishi Dayanand Law College, Jaipur   ",Rajasthan,Jaipur
27527,"Maharishi Dayanand Saraswati Women's College, Alwar   ",Rajasthan,Alwar
27528,Maharishi Parshuram Mahav ,Rajasthan,Dhaulpur
27529,"Maharishi Parshuram PG Mahacvi., Sikar   ",Rajasthan,Sikar
27530,"Maharshi Dadhichi Law College, Jaipur   ",Rajasthan,Jaipur
27531,"Maharshi Dayanand B.Ed. College, Jaipur   ",Rajasthan,Jaipur
27532,"Maharshi Dayanand Mahila Mahavi., Sikar   ",Rajasthan,Sikar
27533,"Maharshi Parshu Ram College, Jaipur   ",Rajasthan,Jaipur
27534,"Maharshi Sandeepani TT College, Jaipur   ",Rajasthan,Jaipur
27535,"Mahatama Gandhi PG College, Dausa   ",Rajasthan,Dausa
27536,"Mahatma Gandhi College of Edu., Jaipur   ",Rajasthan,Jaipur
27537,"Mahatma Gandhi Inst. of Applied Science, Jaipur   ",Rajasthan,Jaipur
27538,"Mahatma Gandhi International Girls College, Jaipur   ",Rajasthan,Jaipur
27539,Mahatma Gandhi Mahav ,Rajasthan,Jaipur
27540,"Mahatma Gandhi PG Mahavi., Sikar   ",Rajasthan,Sikar
27541,"Mahatma Gandhi Shikshak Prashikahan Mahavi., Bharatpur   ",Rajasthan,Bharatpur
27542,"Mahatma Gandhi TT College, Dausa   ",Rajasthan,Dausa
27543,"Mahatma Gandhi TT College, Sikar   ",Rajasthan,Sikar
27544,Mahatma Jyotiba Fule Mahav ,Rajasthan,Jaipur
27545,"Mahatma Jyotiba fule Shikshak Prashikshan Mahavi., Jaipur   ",Rajasthan,Jaipur
27546,"Mahatma Jyoti Rao Pholle Women's Law College, Jaipur   ",Rajasthan,Jaipur
